package,ondiskversion,source
fastICA,1.2-7,CRAN (R 4.5.0)
fastmap,1.2.0,CRAN (R 4.5.0)
fBasics,4041.97,CRAN (R 4.5.0)
fdrtool,1.2.18,CRAN (R 4.5.0)
fGarch,4033.92,CRAN (R 4.5.0)
filelock,1.0.3,CRAN (R 4.5.0)
flextable,0.9.11.004,Github (davidgohel/flextable@778384c4883160e9fa1c7377a156a3fcda432497)
fontawesome,0.5.3,CRAN (R 4.5.0)
fontBitstreamVera,0.1.1,CRAN (R 4.5.0)
fontLiberation,0.1.0,CRAN (R 4.5.0)
fontquiver,0.2.1,CRAN (R 4.5.0)
forcats,1.0.1,CRAN (R 4.5.0)
foreach,1.5.2,CRAN (R 4.5.0)
forecast,8.24.0,CRAN (R 4.5.0)
foreign,0.8-90,CRAN (R 4.5.1)
formatR,1.14,CRAN (R 4.5.0)
formattable,0.2.1,CRAN (R 4.5.0)
Formula,1.2-5,CRAN (R 4.5.0)
formulaic,0.0.8,CRAN (R 4.5.0)
fracdiff,1.5-3,CRAN (R 4.5.0)
fractional,0.1.3,CRAN (R 4.5.0)
fs,1.6.6,CRAN (R 4.5.0)
furrr,0.3.1,CRAN (R 4.5.0)
futile.logger,1.4.3,CRAN (R 4.5.0)
futile.options,1.0.1,CRAN (R 4.5.0)
future,1.67.0,CRAN (R 4.5.0)
future.apply,1.20.0,CRAN (R 4.5.0)
fuzzyjoin,0.1.6.1,CRAN (R 4.5.0)
fxtas,0.0.0.9027,local
gargle,1.6.0,CRAN (R 4.5.0)
gbutils,0.5,CRAN (R 4.5.0)
gdtools,0.4.4,CRAN (R 4.5.0)
geepack,1.3.12,CRAN (R 4.5.0)
generics,0.1.4,CRAN (R 4.5.0)
geosphere,1.5-20,CRAN (R 4.5.0)
gert,2.1.5,CRAN (R 4.5.0)
getPass,0.2-4,CRAN (R 4.5.0)
GGally,2.4.0,CRAN (R 4.5.0)
ggbump,0.1.99999,Github (davidsjoberg/ggbump@fe6d5c7a974d4ae421b295cf81974394df481111)
ggeasy,0.1.6,CRAN (R 4.5.0)
ggeffects,2.3.1,CRAN (R 4.5.0)
ggfortify,0.4.19,CRAN (R 4.5.0)
ggh4x,0.3.1,CRAN (R 4.5.0)
