package,ondiskversion,source
fractional,0.1.3,CRAN (R 4.5.1)
fs,1.6.6,CRAN (R 4.5.0)
ftExtra,0.6.4,CRAN (R 4.5.1)
furrr,0.3.1,CRAN (R 4.5.0)
futile.logger,1.4.3,CRAN (R 4.5.1)
futile.options,1.0.1,CRAN (R 4.5.0)
future,1.67.0,CRAN (R 4.5.1)
future.apply,1.20.0,CRAN (R 4.5.1)
fxtas,0.0.0.9032,local
gargle,1.5.2,CRAN (R 4.5.0)
gdtools,0.4.2,CRAN (R 4.5.0)
geepack,1.3.12,CRAN (R 4.5.1)
generics,0.1.4,CRAN (R 4.5.0)
gert,2.1.5,CRAN (R 4.5.0)
GGally,2.3.0,CRAN (R 4.5.1)
ggbeeswarm,0.7.2,CRAN (R 4.5.0)
ggbump,0.1.99999,Github (davidsjoberg/ggbump@3aadf3dc3636a59b0075aa12ade8aaf33ab085f8)
ggeasy,0.1.6,CRAN (R 4.5.1)
ggeffects,2.3.0,CRAN (R 4.5.1)
ggfortify,0.4.19,CRAN (R 4.5.1)
ggh4x,0.3.1,CRAN (R 4.5.1)
ggmcmc,1.5.1.1,Github (xfim/ggmcmc@352a0f8139a023cc30db9f18477419f8cf4f7623)
ggnewscale,0.5.2,CRAN (R 4.5.1)
ggplot2,3.5.2,CRAN (R 4.5.0)
ggpubr,0.6.1,RSPM (R 4.5.0)
ggrepel,0.9.6,CRAN (R 4.5.0)
ggsci,3.2.0,CRAN (R 4.5.0)
ggsignif,0.6.4,CRAN (R 4.5.0)
ggstats,0.10.0,CRAN (R 4.5.1)
ggtext,0.1.2,CRAN (R 4.5.0)
ggview,0.2.2,CRAN (R 4.5.1)
gh,1.5.0,CRAN (R 4.5.0)
gitcreds,0.1.2,CRAN (R 4.5.0)
gitlabr,2.1.0,CRAN (R 4.5.1)
glasso,1.11,CRAN (R 4.5.0)
glmmTMB,1.1.11,CRAN (R 4.5.1)
glmnet,4.1-10,CRAN (R 4.5.1)
GLMsData,1.4,CRAN (R 4.5.0)
glmx,0.2-1,CRAN (R 4.5.1)
globals,0.18.0,CRAN (R 4.5.0)
glue,1.8.0,CRAN (R 4.5.0)
goftest,1.2-3,CRAN (R 4.5.0)
golem,0.5.1,CRAN (R 4.5.0)
googledrive,2.1.1,CRAN (R 4.5.0)
googlesheets4,1.1.1,CRAN (R 4.5.0)
gower,1.0.2,CRAN (R 4.5.0)
GPArotation,2025.3-1,CRAN (R 4.5.0)
GPfit,1.0-9,CRAN (R 4.5.1)
gplots,3.2.0,CRAN (R 4.5.1)
gridExtra,2.3,CRAN (R 4.5.0)
gridtext,0.1.5,CRAN (R 4.5.0)
gt,1.0.0,CRAN (R 4.5.0)
gtable,0.3.6,CRAN (R 4.5.0)
gtools,3.9.5,CRAN (R 4.5.1)
gtsummary,2.3.0.9002,Github (d-morrison/gtsummary@233f8db283a318edce8c26d9aa3b1db73e159d08)
hardhat,1.4.1,CRAN (R 4.5.1)
haven,2.5.5,CRAN (R 4.5.0)
here,1.0.1,CRAN (R 4.5.0)
highr,0.11,CRAN (R 4.5.0)
Hmisc,5.2-3,CRAN (R 4.5.1)
hms,1.1.3,CRAN (R 4.5.0)
htmlTable,2.4.3,CRAN (R 4.5.1)
htmltools,0.5.8.1,CRAN (R 4.5.0)
